Date,Description,Amount,Category
2024-01-03,Customer Payment - Ravi Traders,45000,Income
2024-01-05,Rent Payment,-12000,Expense
2024-01-07,Customer Payment - Meena Stores,28000,Income
2024-01-10,Electricity Bill,-3200,Expense
2024-01-12,Customer Payment - Ravi Traders,52000,Income
2024-01-15,Staff Salary,-18000,Expense
2024-01-18,Raw Material Purchase,-22000,Expense
2024-01-20,Customer Payment - Suresh Enterprises,15000,Income
2024-01-23,Transport Cost,-4500,Expense
2024-01-25,Customer Payment - Meena Stores,31000,Income
2024-01-28,Miscellaneous Expense,-2800,Expense
2024-02-02,Customer Payment - Ravi Traders,48000,Income
2024-02-05,Rent Payment,-12000,Expense
2024-02-08,Customer Payment - New Client - Patel & Co,20000,Income
2024-02-10,Electricity Bill,-2900,Expense
2024-02-13,Customer Payment - Ravi Traders,55000,Income
2024-02-15,Staff Salary,-18000,Expense
2024-02-17,Raw Material Purchase,-19500,Expense
2024-02-20,Customer Payment - Suresh Enterprises,12000,Income
2024-02-22,Marketing Expense,-5000,Expense
2024-02-25,Customer Payment - Meena Stores,27000,Income
2024-02-27,Transport Cost,-3800,Expense
2024-03-01,Customer Payment - Ravi Traders,60000,Income
2024-03-04,Rent Payment,-12000,Expense
2024-03-06,Customer Payment - Patel & Co,25000,Income
2024-03-09,Electricity Bill,-3500,Expense
2024-03-11,Customer Payment - Ravi Traders,42000,Income
2024-03-14,Staff Salary,-18000,Expense
2024-03-16,Raw Material Purchase,-25000,Expense
2024-03-19,Customer Payment - Meena Stores,33000,Income
2024-03-21,Equipment Repair,-6000,Expense
2024-03-24,Customer Payment - Suresh Enterprises,18000,Income
2024-03-27,Transport Cost,-4200,Expense
2024-03-29,Customer Payment - New Client - Sharma Traders,22000,Income